fps,region,women_15yo_19yo_pregnant_mothers,women_15yo_49yo_diu_total,women_15yo_49yo_diu_modern,women_15yo_49yo_diu_traditional,women_pregnancy_care,women_delivery_care
0,Nacional,9.2,77.9,56.6,21.4,97.8,94.6
1,Amazonas,21.8,79.0,51.1,27.8,89.5,72.9
2,Áncash,7.4,78.3,56.0,22.3,99.1,97.7
3,Apurímac,8.7,76.5,49.7,26.8,98.7,99.7
4,Arequipa,3.6,79.1,58.1,20.9,99.2,99.0
5,Ayacucho,10.0,77.4,55.5,21.9,99.3,99.5
6,Cajamarca,15.2,79.6,52.8,26.8,97.7,85.9
7,Prov. Const. del Callao,9.5,74.0,63.6,10.4,99.5,99.6
8,Cusco,10.3,75.4,49.2,26.2,99.0,98.0
9,Huancavelica,16.9,78.9,46.9,32.0,99.2,98.3
10,Huánuco,14.3,74.5,57.2,17.3,99.4,95.2
11,Ica,10.6,83.5,62.2,21.3,98.6,97.9
12,Junín,12.2,81.3,63.8,17.6,98.3,95.4
13,La Libertad,8.5,83.0,58.8,24.1,99.0,90.1
14,Lambayeque,10.8,73.8,52.5,21.3,98.9,94.4
15,Lima 2/,5.9,76.7,62.9,13.9,99.7,98.4
16,Loreto,18.1,69.7,51.5,18.2,86.1,77.0
17,Madre de Dios,10.9,73.9,58.1,15.8,99.2,98.9
18,Moquegua,7.5,78.0,53.1,25.0,99.6,99.2
19,Pasco,14.1,75.8,60.2,15.6,99.2,92.9
20,Piura,10.6,80.2,60.2,20.0,98.7,93.7
21,Puno,7.0,73.6,32.3,41.3,99.3,96.1
22,San Martín,14.5,78.4,57.5,20.9,93.4,93.2
23,Tacna,5.7,76.2,52.9,23.3,99.8,99.2
24,Tumbes,11.7,77.7,69.6,8.1,99.1,98.6
25,Ucayali,21.7,72.3,55.8,16.5,93.3,84.4